epoch,train_mae,val_mae,val_loss,lr,grad_norm,nan_batches
1,90.18299023516767,49.85949662802876,0.04376882595428522,5e-05,2.1237100920119842,0
2,54.5024491842691,51.94656814354053,0.05012537738767223,5e-05,0.9613800660356299,0
3,44.16438147309539,45.166251141092054,0.03795623514747274,5e-05,0.8005650949168515,0
4,40.55519428500882,36.5529320758322,0.025062534148278443,5e-05,0.7160983751346539,0
5,34.99796946637042,35.17136526798856,0.021381223736249882,5e-05,0.5490798143210349,0
6,36.33261019223696,35.57855268837749,0.023306904468631397,5e-05,0.5957713252925253,0
7,29.866083591015308,31.77888024371603,0.01867648257293563,5e-05,0.41245042426245554,0
8,28.830234923920074,31.3632348102072,0.01779550645986329,5e-05,0.41245115761246,0
9,27.43199893406459,35.26288062938745,0.021824144299371517,5e-05,0.3699410008145617,0
10,25.654121597091873,38.910284291143,0.027626271238145622,5e-05,0.3458415633672244,0
11,23.687833538303128,37.03839774753737,0.023875785694606064,2.5e-05,0.3003242460938243,0
12,20.798171538811225,31.318495819534082,0.016800753124382183,2.5e-05,0.23311837511016176,0
13,18.191097531999862,29.500280186749887,0.015320078402325727,2.5e-05,0.1930712902700746,0
14,16.791493997945413,29.740458833998527,0.016034653896222942,2.5e-05,0.1637504788768756,0
15,16.963689246735015,29.297782787378285,0.0161300462441168,2.5e-05,0.18822560585164405,0
16,16.000171190732484,28.876993372820426,0.015366414507878,2.5e-05,0.17477611016917538,0
17,15.861724704891056,29.2418407495471,0.015144325563333172,2.5e-05,0.16763143222053328,0
18,16.17528501733557,29.168646107549254,0.015169829481105873,2.5e-05,0.17173950722465267,0
19,15.748829408125443,30.149750640426856,0.016520523479667263,1.25e-05,0.17882277361758345,0
20,13.963681443945154,27.687295222627945,0.01414089016886293,1.25e-05,0.13705355896578206,0
21,13.850902074343198,27.247667837834012,0.013600192356692709,1.25e-05,0.14355844481811894,0
22,13.692849010616154,28.331938370414402,0.01506107566419287,1.25e-05,0.14489823086308196,0
23,12.981831340046671,28.041812620301176,0.01475675597085037,1.25e-05,0.1344941509524723,0
24,12.990155368656307,27.878527655117754,0.013905423517892326,6.25e-06,0.1398539137724158,0
25,12.404602422342672,28.250107143236242,0.014847993985682295,6.25e-06,0.11870310315257543,0
26,12.537171450528232,27.789013185362887,0.01362004561646693,6.25e-06,0.12743024257096378,0
27,12.056654001211191,28.72089872498443,0.015537088912358318,3.125e-06,0.11556652652752863,0
28,11.525239919687246,28.268678969231203,0.014798791957614214,3.125e-06,0.11407083534188085,0
29,11.341879132506135,27.87961058685745,0.014315516215519629,3.125e-06,0.1205034890248404,0
30,11.501451399419215,28.548291192538496,0.01503438544392154,1.5625e-06,0.11437728101169908,0
31,10.954711808786763,27.94810596410779,0.014196979894262293,1.5625e-06,0.10726595331322063,0
32,11.20778734653027,27.873317110365715,0.014171541965418104,1.5625e-06,0.10875301493646262,0
33,10.75801641290838,27.805426113847375,0.014022886982538563,7.8125e-07,0.10706336389888417,0
